"Date:";"2024-03-20 15:07:34"
"J45";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J46";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J47";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J48";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J49";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J50";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J51";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J52";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J53";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J54";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J55";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J56";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J57";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J58";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J59";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J60";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J61";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J62";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J63";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J64";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J65";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J66";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J67";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J68";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J69";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J70";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J71";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J72";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J73";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J74";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J75";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J76";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J77";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J78";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J79";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J80";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J81";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J82";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J83";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J84";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J85";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J86";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J87";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J88";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J89";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J90";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J91";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"R1";"1";"Vishay";"CRCW12061R00FKEAHP";"812-1821P";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/03b5/0900766b814c547a.pdf";""
"R2";"10";"Vishay";"RLP0310R00FB15";"788-8093 (RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/8e1e/0900766b80ed1e4d.pdf";""
"R3";"100";"Vishay";"RCP1206W100RGEB";"880-2188 (Rs)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/2204/0900766b81433c76.pdf";""
"R4";"1k";"Vishay";"CRCW12061K00FKEA";"679-1844(Rs)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/7965/0900766b817283b3.pdf";""
"R5";"10k";"Vishay";"P2TC1206D1002LNTA";"218-2759 (RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/394c/A700000007558145.pdf";""
"R6";"100k";"Vishay";"";"684-2645 (RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/d7c1/0900766b808c7a88.pdf";""
"R7";"1M";"Vishay";"P1206Y1004BNTA";"684-2601(RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/d7c1/0900766b808c7a88.pdf";""
"R8";"10M";"Vishay";"CRHV1206AF10M0FKET";"819-8732P(RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/ca85/0900766b8130adb2.pdf";""
"R9";"100M";"Vishay";"CRHV1206AF100MFKET";"819-8745P";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/ca85/0900766b8130adb2.pdf";""
"R10";"500M";"Vishay";"CRHV2512AF500MFKET";"819-8773(RS)";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"https://docs.rs-online.com/ca85/0900766b8130adb2.pdf";""
"R11";"X";"";"";"";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"~";""
"R12";"X";"";"";"";"";"R";"Resistor";"1";"Omipassif:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";"~";""
